experiment,split,mechanism,threshold,metric,TP,FP,FN,precision,recall,f1,mAP50,mAP50_95
juniperus_btm_heterogeneous_20260824_091248,test,btm_forest_ensemble_uniform,@50,IoU,648,286,42,69.37901498929337,93.91304347826087,79.80295566502463,0.9087506050162408,0.616971276144624
juniperus_btm_heterogeneous_20260824_091248,test,btm_forest_ensemble_uniform,@50,S-IoU,577,357,12,61.77730192719486,97.96264855687606,75.7715036112935,0.9087506050162408,0.616971276144624
juniperus_btm_heterogeneous_20260824_091248,test,btm_forest_ensemble_uniform,@75,IoU,528,406,162,56.53104925053534,76.52173913043478,65.02463054187193,0.9087506050162408,0.616971276144624
juniperus_btm_heterogeneous_20260824_091248,test,btm_forest_ensemble_uniform,@75,S-IoU,475,459,22,50.85653104925053,95.57344064386318,66.38714185883997,0.9087506050162408,0.616971276144624
juniperus_btm_heterogeneous_20260824_091248,test,btm_forest_ensemble_weighted,@50,IoU,648,287,42,69.30481283422459,93.91304347826087,79.75384615384615,0.9085111150419614,0.6169533798960491
juniperus_btm_heterogeneous_20260824_091248,test,btm_forest_ensemble_weighted,@50,S-IoU,578,357,12,61.81818181818181,97.96610169491525,75.80327868852459,0.9085111150419614,0.6169533798960491
juniperus_btm_heterogeneous_20260824_091248,test,btm_forest_ensemble_weighted,@75,IoU,528,407,162,56.470588235294116,76.52173913043478,64.98461538461538,0.9085111150419614,0.6169533798960491
juniperus_btm_heterogeneous_20260824_091248,test,btm_forest_ensemble_weighted,@75,S-IoU,475,460,22,50.80213903743316,95.57344064386318,66.34078212290501,0.9085111150419614,0.6169533798960491
juniperus_btm_heterogeneous_20260824_091248,test,random_ensemble,@50,IoU,641,227,49,73.84792626728111,92.89855072463769,82.28498074454428,0.9047003049914949,0.6644248849200811
juniperus_btm_heterogeneous_20260824_091248,test,random_ensemble,@50,S-IoU,550,318,17,63.36405529953917,97.00176366843033,76.65505226480836,0.9047003049914949,0.6644248849200811
juniperus_btm_heterogeneous_20260824_091248,test,random_ensemble,@75,IoU,551,317,139,63.47926267281107,79.85507246376812,70.73170731707317,0.9047003049914949,0.6644248849200811
juniperus_btm_heterogeneous_20260824_091248,test,random_ensemble,@75,S-IoU,457,411,45,52.64976958525346,91.03585657370517,66.71532846715328,0.9047003049914949,0.6644248849200811
juniperus_btm_heterogeneous_20260824_091248,field_work,dense_baseline,@50,IoU,1155,332,616,77.67316745124411,65.21739130434783,70.902394106814,0.6155389356429917,0.3610776349294251
juniperus_btm_heterogeneous_20260824_091248,field_work,dense_baseline,@50,S-IoU,927,560,418,62.34028244788165,68.92193308550186,65.46610169491525,0.6155389356429917,0.3610776349294251
juniperus_btm_heterogeneous_20260824_091248,field_work,dense_baseline,@75,IoU,793,694,978,53.328850033624754,44.776962168266515,48.68017188459177,0.6155389356429917,0.3610776349294251
juniperus_btm_heterogeneous_20260824_091248,field_work,dense_baseline,@75,S-IoU,704,783,544,47.34364492266308,56.41025641025641,51.480804387568554,0.6155389356429917,0.3610776349294251
juniperus_btm_heterogeneous_20260824_091248,field_work,expert_E1_scale_solo,@50,IoU,1142,312,629,78.54195323246216,64.48334274421231,70.8217054263566,0.6029634256237664,0.3542455529561604
juniperus_btm_heterogeneous_20260824_091248,field_work,expert_E1_scale_solo,@50,S-IoU,915,539,406,62.92984869325997,69.26570779712338,65.94594594594595,0.6029634256237664,0.3542455529561604
juniperus_btm_heterogeneous_20260824_091248,field_work,expert_E1_scale_solo,@75,IoU,790,664,981,54.33287482806052,44.60756634669678,48.9922480620155,0.6029634256237664,0.3542455529561604
juniperus_btm_heterogeneous_20260824_091248,field_work,expert_E1_scale_solo,@75,S-IoU,675,779,565,46.42365887207703,54.43548387096774,50.11135857461024,0.6029634256237664,0.3542455529561604
juniperus_btm_heterogeneous_20260824_091248,field_work,expert_E2_illum_solo,@50,IoU,1143,293,628,79.59610027855153,64.5398080180689,71.28157156220767,0.6081861934812637,0.3708385898853582
juniperus_btm_heterogeneous_20260824_091248,field_work,expert_E2_illum_solo,@50,S-IoU,907,529,411,63.16155988857939,68.81638846737481,65.86782861292664,0.6081861934812637,0.3708385898853582
juniperus_btm_heterogeneous_20260824_091248,field_work,expert_E2_illum_solo,@75,IoU,819,617,952,57.033426183844014,46.24505928853755,51.075771749298404,0.6081861934812637,0.3708385898853582
juniperus_btm_heterogeneous_20260824_091248,field_work,expert_E2_illum_solo,@75,S-IoU,693,743,526,48.259052924791085,56.84987694831829,52.20338983050847,0.6081861934812637,0.3708385898853582
juniperus_btm_heterogeneous_20260824_091248,field_work,expert_E3_geom_solo,@50,IoU,1165,282,606,80.51140290255702,65.78204404291361,72.40522063393412,0.6202700550163492,0.3307191048543739
juniperus_btm_heterogeneous_20260824_091248,field_work,expert_E3_geom_solo,@50,S-IoU,919,528,363,63.510711817553556,71.68486739469579,67.35067790399414,0.6202700550163492,0.3307191048543739
juniperus_btm_heterogeneous_20260824_091248,field_work,expert_E3_geom_solo,@75,IoU,741,706,1030,51.209398756046994,41.84076792772445,46.05344934742076,0.6202700550163492,0.3307191048543739
juniperus_btm_heterogeneous_20260824_091248,field_work,expert_E3_geom_solo,@75,S-IoU,723,724,452,49.96544574982723,61.53191489361702,55.14874141876429,0.6202700550163492,0.3307191048543739
juniperus_btm_heterogeneous_20260824_091248,field_work,btm_forest_ensemble_uniform,@50,IoU,1316,582,455,69.33614330874605,74.30830039525692,71.73616789315889,0.6944072148583098,0.41006407107450915
